,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
71,GEMA.ME,International Medical Center of Biomaterials Processing and Cryostorage Public Joint-stock company,Russia,MCX,RUB,Common Stock,RU000A100GC7,4,,Medical Care Facilities,Healthcare,6.9554896,,803.9143,699.3169,0.43793,0.90205
72,GEMC.ME,United Medical Group CY PLC,Russia,MCX,RUB,Common Stock,,,,,,,,,,,
73,GLTR.ME,Globaltrans Investment Plc,Russia,MCX,RUB,Common Stock,,5,,Railroads,Industrials,2.2253325,,,,0.15484999,0.31157
74,GMKN.ME,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,Russia,MCX,RUB,Common Stock,RU0007288411,7,,Other Industrial Metals & Mining,Basic Materials,9709.348,3911816314880,24660.115,24992.254,0.21775,0.69373
76,GRNT.ME,"Public Joint Stock Company ""City Innovative Technologies""",Russia,MCX,RUB,Common Stock,RU000A0JV532,4,,Real Estate—Development,Real Estate,0.29025513,358550240,0.3699857,0.4260669,0.02587,0.106879994
77,GTLC.ME,"Joint-Stock Company "" Gas To Liquid """,Russia,MCX,RUB,Common Stock,RU000A0JTN19,4,,Oil & Gas E&P,Energy,0.0074753687,214689200,0.058857143,0.054732393,0,0
78,GTRK.ME,Public Joint Stock Company Globaltruck Management,Russia,MCX,RUB,Common Stock,RU000A0ZYD22,6,,Trucking,Industrials,0.43404326,3484228096,35.782856,36.390846,0.00664,0.12952
79,HHRU.ME,HeadHunter Group PLC,Russia,MCX,RUB,Common Stock,,7,,Staffing & Employment Services,Industrials,46.748108,,,,0.25011998,0.57499003
80,HIMCP.ME,Khimprom Public Joint stock company,Russia,MCX,RUB,Common Stock,RU0009099006,8,,Chemicals,Basic Materials,1.521468,7844212224,8.094857,8.062746,0.06161,0.3058
81,HYDR.ME,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,Russia,MCX,RUB,Common Stock,RU000A0JPKH7,7,,Utilities—Renewable,Utilities,0.57390994,355360145408,0.81924284,0.8262211,0.09522,0.55002
82,IDVP.ME,Public Joint Stock Company INVEST-DEVELOPMENT,Russia,MCX,RUB,Common Stock,RU000A0JV7V4,5,,Real Estate Services,Real Estate,140.6637,272257073152,60114.285,52661.973,0,0
83,IGST.ME,Izhstal PAO,Russia,MCX,RUB,Common Stock,RU0002155292,4,,Steel,Basic Materials,,1119370624,984.6857,1043.662,-0.08514,0.081420004
84,IGSTP.ME,Izhstal PAO,Russia,MCX,RUB,Common Stock,,4,,Steel,Basic Materials,,1191273344,1002.4286,997.9718,-0.1092,0.077199996
85,INGR.ME,"Public Joint Stock Company ""INGRAD""",Russia,MCX,RUB,Common Stock,RU000A0DJ9B4,6,,Real Estate—Development,Real Estate,7.7826896,55136034816,1259.3715,1449.2324,0.0149300005,0.27075002
86,IRAO.ME,Public Joint Stock Company Inter RAO UES,Russia,MCX,RUB,Common Stock,RU000A0JPNM1,6,,Utilities—Regulated Electric,Utilities,0.5470628,354759835648,4.404543,4.84581,0.07241,0.21495001
87,IRGZ.ME,Irkutsk Public Joint Stock Company of Energetics and Electrification,Russia,MCX,RUB,Common Stock,RU0008960828,5,,Utilities—Regulated Electric,Utilities,0.30310977,55045484544,11.46,11.517887,0.011510001,0.23988001
88,IRKT.ME,Irkut Corporation,Russia,MCX,RUB,Common Stock,RU0006752979,4,,Aerospace & Defense,Industrials,,75904450560,24.809143,25.143099,-0.57973,0.32819998
89,ISKJ.ME,"Public Joint-Stock Company ""Human Stem Cells Institute""",Russia,MCX,RUB,Common Stock,RU000A0JNAB6,5,,Biotechnology,Healthcare,34.92278,6783749632,73.019714,45.507042,0.0672,0.63988996
90,JNOS.ME,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,Russia,MCX,RUB,Common Stock,RU0009100895,5,,Oil & Gas Refining & Marketing,Energy,0.34118077,23877044224,19.545713,19.13486,0.12023,0.53378
91,JNOSP.ME,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,Russia,MCX,RUB,Common Stock,,5,,Oil & Gas Refining & Marketing,Energy,0.22845,21681219584,13.718857,13.872112,0.12023,0.53378
92,KAZT.ME,Public Joint Stock Company KuibyshevAzot,Russia,MCX,RUB,Common Stock,RU000A0B9BV2,5,,Chemicals,Basic Materials,2.2351387,72768946176,285.14856,235.26901,0.01353,0.22553
93,KAZTP.ME,Public Joint Stock Company KuibyshevAzot,Russia,MCX,RUB,Common Stock,,5,,Chemicals,Basic Materials,2.2459626,73026723840,290.49713,235.5507,0.01353,0.22553
94,KBSB.ME,"Public Joint Stock Company ""TNS energo Kuban""",Russia,MCX,RUB,Common Stock,RU000A0JNJ11,3,,Utilities—Regulated Electric,Utilities,,2205537024,126.3,129.1831,-0.00555,0.02606
95,KCHE.ME,Public Joint Stock Company Kamchatskenergo,Russia,MCX,RUB,Common Stock,RU0006753498,9,,Utilities—Regulated Electric,Utilities,1.9484535,9274929152,0.1887,0.19673592,0.07295,0.49456
96,KCHEP.ME,Public Joint Stock Company Kamchatskenergo,Russia,MCX,RUB,Common Stock,,9,,Utilities—Regulated Electric,Utilities,4.2886596,8716781568,0.43405715,0.4167183,0.07295,0.49456
97,KGKC.ME,Public Joint Stock Company Kurgan Generation Company,Russia,MCX,RUB,Common Stock,RU000A0JP120,6,,Utilities—Independent Power Producers,Utilities,1.3036336,6620636160,47.82857,50.37183,0.04493,0.38074002
98,KGKCP.ME,Public Joint Stock Company Kurgan Generation Company,Russia,MCX,RUB,Common Stock,,6,,Utilities—Independent Power Producers,Utilities,1.2367079,6182021632,47.68,51.433804,0.04493,0.38074002
99,KLSB.ME,Kaluga Power Sale Company Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0DKZK3,7,,Utilities—Regulated Electric,Utilities,0.68741256,738108096,9.906,9.970493,0.00347,0.046729997
100,KMAZ.ME,KAMAZ Publicly Traded Company,Russia,MCX,RUB,Common Stock,RU0008959580,8,,Farm & Heavy Construction Machinery,Industrials,1.6035596,78502535168,78.968575,71.51057,0.01518,0.13485
101,KMEZ.ME,Kovrov Mechanical Plant Public Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU0006753613,,,Aerospace & Defense,Industrials,1.0745785,4272820992,1155.2285,1083.2394,0.113400005,0.46793997
102,KOGK.ME,Korshynov Mining Plant Public Joint Stock Company,Russia,MCX,RUB,Common Stock,RU0002155359,,,Steel,Basic Materials,0.29338127,13456779264,51045.715,50574.65,0.24360001,0.44748002
103,KRKN.ME,Public Joint Stock Company Saratov Oil Refinery,Russia,MCX,RUB,Common Stock,RU0009100408,,,Oil & Gas Refining & Marketing,Energy,0.25981402,9163147264,12562.857,13305.281,0.28663,0.4095
104,KRKNP.ME,Public Joint Stock Company Saratov Oil Refinery,Russia,MCX,RUB,Common Stock,,,,Oil & Gas Refining & Marketing,Energy,0.32026055,6245662208,15128,15749.859,0.28663,0.4095
105,KRKOP.ME,Public Joint Stock Company The Taganrog Boiler-Making Works Krasny Kotelshchik,Russia,MCX,RUB,Common Stock,,5,,Specialty Industrial Machinery,Industrials,4.8976984,6724177408,11.896143,12.2715845,0.15964,0.24110001
106,KROT.ME,Public Joint-Stock Company Krasnyj Octyabr,Russia,MCX,RUB,Common Stock,RU0008913850,,,Confectioners,Consumer Defensive,0.48190123,4410568192,393.85715,430.99295,-0.01439,0.082559995
107,KROTP.ME,Joint-Stock Company Krasnyj Octyabr RUB1 PRF(RUB),Russia,MCX,RUB,Common Stock,,8,,,,,3152412416,294.48572,321.29227,,
108,KRSB.ME,Public Joint Stock Company Krasnoyarskenergosbyt,Russia,MCX,RUB,Common Stock,RU000A0HMLY1,,,Utilities—Regulated Electric,Utilities,2.385536,7045026816,9.126286,9.520141,0.02925,0.09839
109,KRSBP.ME,Public Joint Stock Company Krasnoyarskenergosbyt,Russia,MCX,RUB,Common Stock,,,,Utilities—Regulated Electric,Utilities,2.4817898,7191576064,9.288571,9.682958,0.02925,0.09839
110,KTSB.ME,"Publichnoe Akcionernoe Obshestvo ""Kostromskaya Sbytovaya Compania""",Russia,MCX,RUB,Common Stock,RU000A0D8LW9,,,Utilities—Regulated Electric,Utilities,0.98761606,596430528,0.636,0.6346338,0.00399,0.492
111,KTSBP.ME,Public Joint Stock Company Kostroma Power Sale Company RUB0.04 PRF(USD),Russia,MCX,RUB,Common Stock,,,,,,,297197344,0.31407142,0.2922007,,
112,KUBE.ME,Rosseti Kuban PJSC,Russia,MCX,RUB,Common Stock,RU0009046767,3,,Utilities—Regulated Electric,Utilities,0.67218834,22053961728,65.76,68.71479,-0.025020001,0.02
113,KUZB.ME,Kuznetsky Bank Public joint stock company,Russia,MCX,RUB,Common Stock,RU000A0JSQ66,5,,Banks—Regional,Financial Services,0.8464286,533332960,0.023556286,0.022308733,0.14349,0
114,KZOS.ME,Kazan Public Joint Stock Company Organichesky sintez,Russia,MCX,RUB,Common Stock,RU0009089825,,,Chemicals,Basic Materials,3.199563,214294347776,105.06571,93.032394,0.13396,0.25231
115,KZOSP.ME,Kazan Public Joint Stock Company Organichesky sintez,Russia,MCX,RUB,Common Stock,,,,Chemicals,Basic Materials,0.85967785,158903894016,32.68343,28.875,0.13396,0.25231
116,LIFE.ME,"Public Joint-Stock Company ""Pharmsynthez""",Russia,MCX,RUB,Common Stock,RU000A0JR514,2,,Biotechnology,Healthcare,1.3096261,1834662016,5.9814286,6.099331,0,0.04566
117,LKOH.ME,PJSC LUKOIL,Russia,MCX,RUB,Common Stock,RU0009024277,6,,Oil & Gas Integrated,Energy,0.957826,4129339998208,6378.3286,6242.412,0.03823,0.29185
118,LNTA.ME,Lenta PLC,Russia,MCX,RUB,Common Stock,,7,,Department Stores,Consumer Cyclical,1.1664732,110131978240,230.49142,242.2169,0.02851,0.21756001
119,LNZL.ME,Lena Gold-Mining Public Joint Stock Company Lenzoloto,Russia,MCX,RUB,Common Stock,RU000A0JP1N2,5,,Gold,Basic Materials,0.7792497,15179596800,13616.857,18896.973,0,0
120,LNZLP.ME,Lena Gold-Mining Public Joint Stock Company Lenzoloto,Russia,MCX,RUB,Common Stock,,5,,Gold,Basic Materials,0.15191938,13711631360,2691.4285,4242.887,0,0
121,LPSB.ME,Lipetsk Power Sale Company Open Joint-Stock Company,Russia,MCX,RUB,Common Stock,RU000A0D8MR7,,,Utilities—Regulated Electric,Utilities,1.2266859,1329713152,8.491428,8.498943,-0.016590001,-0.01555
122,LSNG.ME,Public Joint stock company Rosseti Lenenergo,Russia,MCX,RUB,Common Stock,RU0009034490,7,,Utilities—Regulated Electric,Utilities,0.38875103,71717396480,6.2305713,6.130634,0.13287,0.27748
123,LSNGP.ME,Public Joint stock company Rosseti Lenenergo,Russia,MCX,RUB,Common Stock,,7,,Utilities—Regulated Electric,Utilities,10.424789,74036125696,167.07286,162.19577,0.13287,0.27748
124,LSRG.ME,PJSC LSR Group,Russia,MCX,RUB,Common Stock,RU000A0JPFP0,6,,Real Estate—Development,Real Estate,4.227475,75365384192,768.56573,801.54504,0.10186,0.33095002
125,LVHK.ME,Levenhuk Inc,Russia,MCX,RUB,Common Stock,RU000A0JT7Y2,4,,Scientific & Technical Instruments,Technology,0.79922146,695631616,12.505428,12.507676,0.052199997,0.44911
126,MAGE.ME,Public Joint Stock Company Magadanenergo,Russia,MCX,RUB,Common Stock,RU0006758919,7,,Utilities—Regulated Electric,Utilities,2.289229,4300718080,7.8205714,8.928028,0.14212,0.55155
127,MAGEP.ME,Public Joint Stock Company Magadanenergo,Russia,MCX,RUB,Common Stock,,7,,Utilities—Regulated Electric,Utilities,1.7791779,4896756736,6.07,6.4380283,0.14212,0.55155
128,MAGN.ME,Public Joint Stock Company Magnitogorsk Iron & Steel Works,Russia,MCX,RUB,Common Stock,RU0009084396,5,,Steel,Basic Materials,178.52145,883719471104,69.069,63.147396,0.13814001,0.38472
129,MAIL.ME,Mail.ru Group Limited,Russia,MCX,RUB,Common Stock,,3,,Software—Infrastructure,Technology,1.9429965,,,,-0.13417,0.42964
131,MDMG.ME,MD Medical Group Investments Plc,Russia,MCX,RUB,Common Stock,,7,,Medical Care Facilities,Healthcare,3.3331292,,,,0.21933001,0.37633
132,MERF.ME,Public Joint-Stock Company First Real Estate Investment Fund Meridian,Russia,MCX,RUB,Common Stock,RU000A0JQ128,,,,,,3999460352,14.295714,15.774296,0,0
133,MFGS.ME,Joint-stock company Slavneft-Megionneftegas,Russia,MCX,RUB,Common Stock,RU0009011126,4,,Oil & Gas E&P,Energy,0.24979535,30687946752,298.47144,319.74295,-0.14254,0.4445
134,MFGSP.ME,Joint-stock company Slavneft-Megionneftegas,Russia,MCX,RUB,Common Stock,,4,,Oil & Gas E&P,Energy,0.22671863,48998318080,271.94287,285.72888,-0.14254,0.4445
135,MGNT.ME,Public Joint Stock Company Magnit,Russia,MCX,RUB,Common Stock,RU000A0JKQU8,7,,Discount Stores,Consumer Defensive,2.916777,533446230016,5430.3,5292.264,0.0253,0.23048
