,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
106,0116.HK,Chow Sang Sang Holdings International Limited,Hong Kong,HK,HKD,Common Stock,BMG2113M1203,,,,,,,,,,
107,0117.HK,Tianli Holdings Group Limited,Hong Kong,HK,HKD,Common Stock,KYG8884H1092,,,,,,,,,,
108,0118.HK,Cosmos Machinery Enterprises Limited,Hong Kong,HK,HKD,Common Stock,HK0118000667,,,,,,,,,,
109,0119.HK,Poly Property Group Co. Limited,Hong Kong,HK,HKD,Common Stock,HK0119000674,,,,,,,,,,
110,0120.HK,Cosmopolitan International Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG2445L1547,,,,,,,,,,
111,0122.HK,Crocodile Garments Limited,Hong Kong,HK,HKD,Common Stock,HK0122000687,,,,,,,,,,
112,0123.HK,Yuexiu Property Company Limited,Hong Kong,HK,HKD,Common Stock,HK0000745908,,,,,,,,,,
113,0123-OL.HK,YUEXIU PROPERTY,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
114,0124.HK,Guangdong Land Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG4182K1009,,,,,,,,,,
115,0125.HK,Sun Hing Vision Group Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8572F1005,,,,,,,,,,
116,0125-OL.HK,SUN HING VISION,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
117,0126.HK,Carrianna Group Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,BMG1993G1042,,,,,,,,,,
118,0127.HK,Chinese Estates Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2108M2182,,,,,,,,,,
119,0128.HK,ENM Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0128011282,,,,,,,,,,
120,0129.HK,Asia Standard International Group Limited,Hong Kong,HK,HKD,Common Stock,BMG0533U2355,,,,,,,,,,
121,01299.HK,AIA Group Limited,Hong Kong,HK,HKD,Common Stock,HK0000069689,,,,,,,,,,
122,0130.HK,Moiselle International Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG618641073,,,,,,,,,,
123,0131.HK,Cheuk Nang (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,HK0131037993,,,,,,,,,,
124,0132.HK,China Investments Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG210751092,,,,,,,,,,
125,0133.HK,China Merchants China Direct Investments Limited,Hong Kong,HK,HKD,Common Stock,HK0133000726,,,,,,,,,,
126,0135.HK,Kunlun Energy Company Limited,Hong Kong,HK,HKD,Common Stock,BMG5320C1082,,,,,,,,,,
127,0136.HK,HengTen Networks Group Limited,Hong Kong,HK,HKD,Common Stock,BMG4404N1149,,,,,,,,,,
128,0137.HK,Jinhui Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,HK0137031065,,,,,,,,,,
129,0138.HK,CCT Fortis Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG1987Y1030,,,,,,,,,,
130,0139.HK,Central Wealth Group Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2118J1062,,,,,,,,,,
131,0141.HK,Sky Chinafortune Holdings Group Limited,Hong Kong,HK,HKD,Common Stock,HK0141000759,,,,,,,,,,
132,0142.HK,First Pacific Company Limited,Hong Kong,HK,HKD,Common Stock,BMG348041077,,,,,,,,,,
133,0144.HK,China Merchants Port Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,HK0144000764,,,,,,,,,,
134,0145.HK,CCIAM Future Energy Limited,Hong Kong,HK,HKD,Common Stock,HK0000643319,,,,,,,,,,
135,0146.HK,Tai Ping Carpets International Limited,Hong Kong,HK,HKD,Common Stock,BMG8659F1068,,,,,,,,,,
136,0147.HK,International Business Settlement Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG4824K1045,,,,,,,,,,
137,0148.HK,Kingboard Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG525621408,,,,,,,,,,
138,0149.HK,China Agri-Products Exchange Limited,Hong Kong,HK,HKD,Common Stock,BMG2150P2343,,,,,,,,,,
139,0150.HK,Hypebeast Limited,Hong Kong,HK,HKD,Common Stock,KYG468321040,,,,,,,,,,
140,0151.HK,Want Want China Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG9431R1039,,,,,,,,,,
141,0152.HK,Shenzhen International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8086V1467,,,,,,,,,,
142,0154.HK,Beijing Enterprises Environment Group Limited,Hong Kong,HK,HKD,Common Stock,HK0154000803,,,,,,,,,,
143,0156.HK,Lippo China Resources Limited,Hong Kong,HK,HKD,Common Stock,HK0156000819,,,,,,,,,,
144,0158.HK,Melbourne Enterprises Limited,Hong Kong,HK,HKD,Common Stock,HK0158000825,,,,,,,,,,
145,0159.HK,Brockman Mining Limited,Hong Kong,HK,HKD,Common Stock,BMG1739E1084,,,,,,,,,,
146,0160.HK,Hon Kwok Land Investment Company Limited,Hong Kong,HK,HKD,Common Stock,HK0160011786,,,,,,,,,,
147,0161.HK,AVIC IHL,Hong Kong,HK,HKD,Common Stock,CNE1000002B4,,,,,,,,,,
148,0162.HK,Century Ginwa Retail Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2021K1172,,,,,,,,,,
149,0163.HK,Emperor International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG3036C2239,,,,,,,,,,
150,0165.HK,China Everbright Limited,Hong Kong,HK,HKD,Common Stock,HK0165000859,,,,,,,,,,
151,0166.HK,New Times Energy Corporation Limited,Hong Kong,HK,HKD,Common Stock,BMG6488Q1454,,,,,,,,,,
152,0167.HK,IDT International Limited,Hong Kong,HK,HKD,Common Stock,BMG4705P1077,,,,,,,,,,
153,0168.HK,Tsingtao Brewery Company Limited,Hong Kong,HK,HKD,Common Stock,CNE1000004K1,,,,,,,,,,
154,0169.HK,Wanda Hotel Development Company Limited,Hong Kong,HK,HKD,Common Stock,BMG9430N1039,,,,,,,,,,
155,0171.HK,Silver Grant International Holdings Group Limited,Hong Kong,HK,HKD,Common Stock,HK0171000877,,,,,,,,,,
156,0173.HK,K. Wah International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG5321P1169,,,,,,,,,,
157,0174.HK,Gemini Investments (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,HK0174000890,,,,,,,,,,
158,0175.HK,Geely Automobile Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG3777B1032,,,Auto Manufacturers,Consumer Cyclical,4.1345263,263194492928.0,25.317142,23.524965,0.06008,0.15999
159,0176.HK,Superactive Group Company Limited,Hong Kong,HK,HKD,Common Stock,BMG8587Y1021,,,,,,,,,,
160,0177.HK,Jiangsu Expressway Company Limited,Hong Kong,HK,HKD,Common Stock,CNE1000003J5,,,,,,,,,,
161,0177-OL.HK,JIANGSU EXPRESS,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
162,0178.HK,Sa Sa International Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG7814S1021,,,,,,,,,,
163,0179.HK,Johnson Electric Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG5150J1577,,,,,,,,,,
164,0180.HK,Kader Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,BMG5206W1038,,,,,,,,,,
165,0181.HK,Fujian Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0181013399,,,,,,,,,,
166,0182.HK,Concord New Energy Group Limited,Hong Kong,HK,HKD,Common Stock,BMG2345T1099,,,,,,,,,,
167,0182-OL.HK,CHINA WINDPOWER,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
168,01821.HK,ESR Cayman Ltd,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
169,0183.HK,Winfull Group Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG9704H1130,,,,,,,,,,
170,0184.HK,Keck Seng Investments (Hong Kong) Limited,Hong Kong,HK,HKD,Common Stock,HK0184000948,,,,,,,,,,
171,0185.HK,Zensun Enterprises Limited,Hong Kong,HK,HKD,Common Stock,HK0185013379,,,,,,,,,,
172,0186.HK,Nimble Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,BMG652161065,,,,,,,,,,
173,0187.HK,Beijing Jingcheng Machinery Electric Company Limited,Hong Kong,HK,HKD,Common Stock,CNE100000270,,,,,,,,,,
174,0187-OL.HK,JINGCHENG MAC,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
175,01876.HK,Budweiser Brewing Co APAC Ltd,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
176,0188.HK,Sunwah Kingsway Capital Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8587P1196,,,,,,,,,,
177,0189.HK,Dongyue Group Limited,Hong Kong,HK,HKD,Common Stock,KYG2816P1072,,,,,,,,,,
178,0190.HK,HKC (Holdings) Limited,Hong Kong,HK,HKD,Common Stock,BMG4516H1795,,,,,,,,,,
179,0191.HK,Lai Sun Garment (International) Limited,Hong Kong,HK,HKD,Common Stock,HK0000356805,,,,,,,,,,
180,0193.HK,Capital Estate Limited,Hong Kong,HK,HKD,Common Stock,HK0000489689,,,,,,,,,,
181,0194.HK,Liu Chong Hing Investment Limited,Hong Kong,HK,HKD,Common Stock,HK0194000995,,,,,,,,,,
182,0195.HK,Greentech Technology International Limited,Hong Kong,HK,HKD,Common Stock,KYG4100V1059,,,,,,,,,,
183,0196.HK,Honghua Group Limited,Hong Kong,HK,HKD,Common Stock,KYG4584R1092,,,,,,,,,,
184,0197.HK,Heng Tai Consumables Group Limited,Hong Kong,HK,HKD,Common Stock,KYG440351149,,,,,,,,,,
185,0199.HK,ITC Properties Group Limited,Hong Kong,HK,HKD,Common Stock,BMG4984N1618,,,,,,,,,,
186,0200.HK,Melco International Development Limited,Hong Kong,HK,HKD,Common Stock,HK0200030994,,,,,,,,,,
187,0201.HK,Magnificent Hotel Investments Limited,Hong Kong,HK,HKD,Common Stock,HK0201008726,,,,,,,,,,
188,0202.HK,EverChina Int'l Holdings Company Limited,Hong Kong,HK,HKD,Common Stock,HK0000062734,,,,,,,,,,
189,0204.HK,China Investment Development Limited,Hong Kong,HK,HKD,Common Stock,BMG2115B1303,,,,,,,,,,
190,0205.HK,SEEC Media Group Limited,Hong Kong,HK,HKD,Common Stock,BMG8012K1311,,,,,,,,,,
191,0206.HK,CMIC Ocean En-Tech Holding Co. Ltd,Hong Kong,HK,HKD,Common Stock,KYG2124A1076,,,,,,,,,,
192,0207.HK,Joy City Property Limited,Hong Kong,HK,HKD,Common Stock,BMG5210S1061,,,,,,,,,,
193,0208.HK,Polytec Asset Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG716591170,,,,,,,,,,
194,0209.HK,Winshine Science Company Limited,Hong Kong,HK,HKD,Common Stock,BMG9723F1068,,,,,,,,,,
195,0210.HK,Daphne International Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG2830J1031,,,,,,,,,,
196,0211.HK,Styland Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8540A3088,,,,,,,,,,
197,0212.HK,Nanyang Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG6362N1011,,,,,,,,,,
198,0213.HK,National Electronics Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG6374F1041,,,,,,,,,,
199,0214.HK,Asia Orient Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG0534H1189,,,,,,,,,,
200,0215.HK,Hutchison Telecommunications Hong Kong Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG4672G1064,,,,,,,,,,
201,0216.HK,Chinney Investments Limited,Hong Kong,HK,HKD,Common Stock,HK0216001088,,,,,,,,,,
202,0217.HK,China Chengtong Development Group Limited,Hong Kong,HK,HKD,Common Stock,HK0217012357,,,,,,,,,,
203,0218.HK,Shenwan Hongyuan (H.K.) Limited,Hong Kong,HK,HKD,Common Stock,HK0218001102,,,,,,,,,,
204,0219.HK,Shun Ho Property Investments Limited,Hong Kong,HK,HKD,Common Stock,HK0219009344,,,,,,,,,,
205,0220.HK,Uni-President China Holdings Ltd,Hong Kong,HK,HKD,Common Stock,KYG9222R1065,,,,,,,,,,
206,0222.HK,Min Xin Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0222001130,,,,,,,,,,
207,0223.HK,Elife Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG3002T1013,,,,,,,,,,
208,0224.HK,Pioneer Global Group Limited,Hong Kong,HK,HKD,Common Stock,BMG7098N1002,,,,,,,,,,
209,0225.HK,Pokfulam Development Company Limited,Hong Kong,HK,HKD,Common Stock,HK0225001145,,,,,,,,,,
210,0226.HK,Lippo Limited,Hong Kong,HK,HKD,Common Stock,HK0226001151,,,,,,,,,,
211,0227.HK,First Shanghai Investments Limited,Hong Kong,HK,HKD,Common Stock,HK0227001168,,,,,,,,,,
212,0228.HK,China Energy Development Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG2153W1033,,,,,,,,,,
213,0229.HK,Raymond Industrial Limited,Hong Kong,HK,HKD,Common Stock,HK0229001182,,,,,,,,,,
214,0230.HK,Minmetals Land Limited,Hong Kong,HK,HKD,Common Stock,BMG6144P1014,,,,,,,,,,
215,0232.HK,Continental Aerospace Technologies Holding Limited,Hong Kong,HK,HKD,Common Stock,BMG2381M1091,,,,,,,,,,
216,0234.HK,New Century Group Hong Kong Limited,Hong Kong,HK,HKD,Common Stock,BMG644581396,,,,,,,,,,
217,0235.HK,China Strategic Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0235034623,,,,,,,,,,
218,0236.HK,San Miguel Brewery Hong Kong Limited,Hong Kong,HK,HKD,Common Stock,HK0236001209,,,,,,,,,,
219,0237.HK,Safety Godown Company Limited,Hong Kong,HK,HKD,Common Stock,HK0000642089,,,,,,,,,,
220,0239.HK,Pak Fah Yeow International Limited,Hong Kong,HK,HKD,Common Stock,BMG6873Y1176,,,,,,,,,,
221,0239-OL.HK,PAK FAH YEOW,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
222,0240.HK,Build King Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG1675M1064,,,,,,,,,,
223,0240-OL.HK,BUILD KING HOLD,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
224,0241.HK,Alibaba Health Information Technology Limited,Hong Kong,HK,HKD,Common Stock,BMG0171K1018,,,Pharmaceutical Retailers,Healthcare,9.501411,136228806656.0,13.450857,20.481901,0.02246,0.23216
